parent,parent_label,winner_notation,winner_label,winner_sources,winner_children,losers,n_losers,norm_key
000001,,004348,NATURAL RESOURCES AND ENVIRONMENTAL REGULATION,0,16,001766=ENVIRONMENTAL REGULATION AND NATURAL RESOURCES,1,ENVIRONMENTAL NATURAL REGULATION RESOURCE
000001,,001848,FINANCIAL MARKETS REGULATION,0,1,001970=FINANCIAL REGULATION AND MARKETS,1,FINANCIAL MARKET REGULATION
000001,,002020,FOOD AND AGRICULTURE REGULATION,0,7,005036=REGULATION OF FOOD AND AGRICULTURE,1,AGRICULTURE FOOD REGULATION
000001,,002798,FOOD SAFETY REGULATION,0,9,002776=FOOD SAFETY AND REGULATION,1,FOOD REGULATION SAFETY
000001,,004910,PUBLIC PROCUREMENT AND GOVERNMENT CONTRACTING,0,4,002833=GOVERNMENT CONTRACTING AND PUBLIC PROCUREMENT,1,CONTRACTING GOVERNMENT PROCUREMENT PUBLIC
000001,,002846,GOVERNMENT CONTRACTS AND PUBLIC PROCUREMENT,0,2,002893=GOVERNMENT PROCUREMENT AND PUBLIC CONTRACTS;004925=PUBLIC PROCUREMENT AND GOVERNMENT CONTRACTS,2,CONTRACT GOVERNMENT PROCUREMENT PUBLIC
000001,,003035,HEALTH LAW AND FOOD-DRUG REGULATION,0,1,003028=HEALTH LAW AND FOOD AND DRUG REGULATION,1,DRUG FOOD HEALTH LAW REGULATION
000001,,003614,INTERNET AND TECHNOLOGY LAW,0,2,006921=TECHNOLOGY AND INTERNET LAW,1,INTERNET LAW TECHNOLOGY
000001,,003807,LAND USE AND ZONING REGULATION,0,6,003832=LAND USE REGULATION AND ZONING,1,LAND REGULATION USE ZONING
000001,,003835,"LAND USE, ZONING, AND PLANNING",0,2,003821=LAND USE PLANNING AND ZONING,1,LAND PLANNING USE ZONING
000001,,003861,LOCAL GOVERNMENT AND MUNICIPAL CORPORATIONS,0,18,004237=MUNICIPAL CORPORATIONS AND LOCAL GOVERNMENT,1,CORPORATION GOVERNMENT LOCAL MUNICIPAL
000001,,003927,LOCAL GOVERNMENT AND MUNICIPAL LAW,0,27,004185=MUNICIPAL AND LOCAL GOVERNMENT LAW;004315=MUNICIPAL LAW AND LOCAL GOVERNMENT,2,GOVERNMENT LAW LOCAL MUNICIPAL
000001,,004521,NATURAL RESOURCES AND PUBLIC LANDS,0,4,004837=PUBLIC LANDS AND NATURAL RESOURCES,1,LAND NATURAL PUBLIC RESOURCE
000001,,004555,NATURAL RESOURCES REGULATION,0,1,005080=REGULATION OF NATURAL RESOURCES,1,NATURAL REGULATION RESOURCE
000001,,004574,OCCUPATIONAL SAFETY AND HEALTH,0,26,004570=OCCUPATIONAL HEALTH AND SAFETY,1,HEALTH OCCUPATIONAL SAFETY
000001,,004855,PUBLIC PROCUREMENT AND CONTRACTING,0,17,004746=PUBLIC CONTRACTING AND PROCUREMENT,1,CONTRACTING PROCUREMENT PUBLIC
000001,,004774,PUBLIC HEALTH AND SAFETY REGULATION,0,5,005083=REGULATION OF PUBLIC HEALTH AND SAFETY,1,HEALTH PUBLIC REGULATION SAFETY
000001,,004826,PUBLIC INFRASTRUCTURE AND UTILITIES,0,2,004947=PUBLIC UTILITIES AND INFRASTRUCTURE,1,INFRASTRUCTURE PUBLIC UTILITIE
000001,,004955,PUBLIC UTILITIES AND REGULATED INDUSTRIES,0,7,005007=REGULATED INDUSTRIES AND PUBLIC UTILITIES,1,INDUSTRIE PUBLIC REGULATED UTILITIE
000001,,004996,PUBLIC UTILITIES REGULATION,0,1,005086=REGULATION OF PUBLIC UTILITIES,1,PUBLIC REGULATION UTILITIE
000001,,007057,TRANSPORTATION AND PUBLIC UTILITY REGULATION,0,2,004999=PUBLIC UTILITY AND TRANSPORTATION REGULATION,1,PUBLIC REGULATION TRANSPORTATION UTILITY
000001,,005025,REGULATION OF COMMERCE AND TRADE,0,2,007036=TRADE AND COMMERCE REGULATION,1,COMMERCE REGULATION TRADE
000001,,007069,TRANSPORTATION REGULATION,0,6,005098=REGULATION OF TRANSPORTATION,1,REGULATION TRANSPORTATION
000001,,007045,TRANSPORTATION AND CARRIER REGULATION,0,2,005106=REGULATION OF TRANSPORTATION AND CARRIERS,1,CARRIER REGULATION TRANSPORTATION
000001,,006973,TECHNOLOGY LAW AND CYBERSECURITY,0,5,006860=TECHNOLOGY AND CYBERSECURITY LAW,1,CYBERSECURITY LAW TECHNOLOGY
000001,,007382,WORKPLACE HEALTH AND SAFETY REGULATION,0,2,007395=WORKPLACE SAFETY AND HEALTH REGULATION,1,HEALTH REGULATION SAFETY WORKPLACE
000066,ADMINISTRATIVE ADJUDICATION AND TRIBUNALS,000072,TRIBUNAL JURISDICTION AND AUTHORITY,0,1,000067=JURISDICTION AND AUTHORITY OF TRIBUNALS,1,AUTHORITY JURISDICTION TRIBUNAL
000195,ADMINISTRATIVE LAW,000271,DEFINITION AND SCOPE,1,1,000372=SCOPE AND DEFINITION,1,DEFINITION SCOPE
000195,ADMINISTRATIVE LAW,000336,REGULATORY POWER AND RULEMAKING,0,1,000369=RULEMAKING AND REGULATORY POWER,1,POWER REGULATORY RULEMAKING
000299,JUDICIAL REVIEW OF AGENCY ACTION,000323,STANDARDS OF REVIEW,0,2,000321=STANDARD OF REVIEW,1,REVIEW STANDARD
000339,RULEMAKING,000348,APA INFORMAL RULEMAKING (SECTION 553),0,2,000364=INFORMAL RULEMAKING UNDER APA SECTION 553,1,553 APA INFORMAL RULEMAKING SECTION
000581,RULEMAKING,000602,INFORMAL RULEMAKING UNDER APA SECTION 553,1,5,000586=APA INFORMAL RULEMAKING (SECTION 553);000591=APA SECTION 553 INFORMAL RULEMAKING,2,553 APA INFORMAL RULEMAKING SECTION
000700,DUE PROCESS IN ADMINISTRATIVE PROCEEDINGS,000703,LIBERTY AND PROPERTY INTERESTS,0,2,000706=PROPERTY AND LIBERTY INTERESTS,1,INTEREST LIBERTY PROPERTY
000758,ADMINISTRATIVE PROCEDURE AND AGENCY ACTION,000774,JUDICIAL REVIEW OF AGENCY ACTION,0,4,000796=JUDICIAL REVIEW OF AGENCY ACTIONS,1,ACTION AGENCY JUDICIAL REVIEW
000774,JUDICIAL REVIEW OF AGENCY ACTION,000788,STANDARD OF REVIEW,0,1,000791=STANDARDS OF REVIEW,1,REVIEW STANDARD
000802,JUDICIAL REVIEW OF AGENCY DECISIONS,000804,SCOPE AND STANDARDS OF REVIEW,0,1,000811=STANDARDS AND SCOPE OF REVIEW,1,REVIEW SCOPE STANDARD
000802,JUDICIAL REVIEW OF AGENCY DECISIONS,000808,STANDARD OF REVIEW,0,1,000813=STANDARDS OF REVIEW,1,REVIEW STANDARD
000853,ADMINISTRATIVE PROCEDURE AND JUDICIAL REVIEW,000875,JUDICIAL REVIEW OF AGENCY ACTIONS,0,5,000862=JUDICIAL REVIEW OF AGENCY ACTION,1,ACTION AGENCY JUDICIAL REVIEW
000926,ADMINISTRATIVE PROCEDURE AND RULEMAKING,000971,NOTICE AND COMMENT RULEMAKING,0,2,000977=NOTICE-AND-COMMENT RULEMAKING,1,COMMENT NOTICE RULEMAKING
001278,BANKRUPTCY LAW,001281,ADMINISTRATION OF BANKRUPTCY ESTATE,0,2,001286=ADMINISTRATION OF BANKRUPTCY ESTATES,1,ADMINISTRATION BANKRUPTCY ESTATE
001420,CONSUMER PROTECTION,001452,STATE ATTORNEY GENERAL ENFORCEMENT,1,8,001436=ENFORCEMENT BY STATE ATTORNEYS GENERAL,1,ATTORNEY ENFORCEMENT GENERAL STATE
001809,FEDERAL TAXATION,001825,INDIVIDUAL INCOME TAX,0,1,001818=INCOME TAX (INDIVIDUAL),1,INCOME INDIVIDUAL TAX
001851,FINANCIAL REGULATION,001918,REGULATORY STRUCTURE AND FRAMEWORKS,1,0,001911=REGULATORY FRAMEWORKS AND STRUCTURE;001913=REGULATORY FRAMEWORKS AND STRUCTURES,2,FRAMEWORK REGULATORY STRUCTURE
001990,FOOD AND AGRICULTURE LAW,002004,FOOD SYSTEMS REGULATION,0,4,002016=REGULATION OF FOOD SYSTEMS,1,FOOD REGULATION SYSTEM
002020,FOOD AND AGRICULTURE REGULATION,002028,FOOD SYSTEMS REGULATION,0,2,002037=REGULATION OF FOOD SYSTEMS,1,FOOD REGULATION SYSTEM
002043,FOOD AND DRUG LAW,002087,FOOD LABELING AND MARKETING,0,4,002103=FOOD MARKETING AND LABELING,1,FOOD LABELING MARKETING
002043,FOOD AND DRUG LAW,002184,REGULATION OF FOOD SYSTEMS,1,1,002167=FOOD SYSTEMS REGULATION,1,FOOD REGULATION SYSTEM
002043,FOOD AND DRUG LAW,002174,NUTRITION REGULATION,1,2,002186=REGULATION OF NUTRITION,1,NUTRITION REGULATION
002196,FOOD AND DRUG REGULATION,002345,FOOD LABELING AND MARKETING,0,10,002412=FOOD MARKETING AND LABELING,1,FOOD LABELING MARKETING
002196,FOOD AND DRUG REGULATION,002550,FOOD SAFETY AND STANDARDS,0,7,002586=FOOD SAFETY STANDARDS,1,FOOD SAFETY STANDARD
002196,FOOD AND DRUG REGULATION,002658,NUTRITION AND LABELING REGULATION,0,2,002677=NUTRITION REGULATION AND LABELING,1,LABELING NUTRITION REGULATION
002271,FOOD LABELING,002288,COUNTRY OF ORIGIN LABELING,1,0,002289=COUNTRY-OF-ORIGIN LABELING,1,COUNTRY LABELING ORIGIN
002368,FOOD LABELING AND MISBRANDING,002371,FRONT-OF-PACKAGE LABELING,0,2,002369=FRONT OF PACKAGE LABELING,1,FRONT LABELING PACKAGE
002440,FOOD SAFETY,002478,GENETICALLY MODIFIED FOOD,0,1,002480=GENETICALLY MODIFIED FOODS,1,FOOD GENETICALLY MODIFIED
002717,FOOD LAW AND REGULATION,002737,FOOD SYSTEMS REGULATION,0,4,002751=REGULATION OF FOOD SYSTEMS,1,FOOD REGULATION SYSTEM
003097,IMMIGRATION AND NATIONALITY,003148,DEPORTABILITY AND REMOVAL,0,1,003192=REMOVAL AND DEPORTABILITY,1,DEPORTABILITY REMOVAL
003379,INSURANCE REGULATION,003448,STATE INSURANCE REGULATION,0,2,003453=STATE REGULATION OF INSURANCE,1,INSURANCE REGULATION STATE
003509,POST-GRANT PROCEEDINGS AND CORRECTIONS,003512,REISSUE OF PATENTS,1,0,003513=REISSUE PATENTS,1,PATENT REISSUE
003623,JUDICIAL REVIEW OF AGENCY ACTION,003640,SCOPE AND STANDARDS OF JUDICIAL REVIEW,0,2,003668=STANDARDS AND SCOPE OF JUDICIAL REVIEW,1,JUDICIAL REVIEW SCOPE STANDARD
003623,JUDICIAL REVIEW OF AGENCY ACTION,003646,SCOPE AND STANDARDS OF REVIEW,0,5,003671=STANDARDS AND SCOPE OF REVIEW,1,REVIEW SCOPE STANDARD
003740,LABOR STANDARDS AND WORKPLACE REGULATION,003741,ENFORCEMENT OF LABOR LAW,0,1,003743=ENFORCEMENT OF LABOR LAWS,1,ENFORCEMENT LABOR LAW
003861,LOCAL GOVERNMENT AND MUNICIPAL CORPORATIONS,003887,MUNICIPAL PUBLIC UTILITIES AND SERVICES,0,1,003900=MUNICIPAL SERVICES AND PUBLIC UTILITIES;003912=MUNICIPAL UTILITIES AND PUBLIC SERVICES,2,MUNICIPAL PUBLIC SERVICE UTILITIE
003927,LOCAL GOVERNMENT AND MUNICIPAL LAW,004010,MUNICIPAL LEGISLATION AND ORDINANCES,0,3,004035=MUNICIPAL ORDINANCES AND LEGISLATION,1,LEGISLATION MUNICIPAL ORDINANCE
004367,WATER LAW AND RIGHTS,004414,WATER ADMINISTRATION AND GOVERNANCE,0,1,004436=WATER GOVERNANCE AND ADMINISTRATION,1,ADMINISTRATION GOVERNANCE WATER
004574,OCCUPATIONAL SAFETY AND HEALTH,004656,WORKER RIGHTS,0,2,004642=RIGHTS OF WORKERS,1,RIGHT WORKER
004574,OCCUPATIONAL SAFETY AND HEALTH,004661,WORKER RIGHTS AND PROTECTIONS,0,4,004653=WORKER PROTECTIONS AND RIGHTS,1,PROTECTION RIGHT WORKER
005138,MUNICIPAL LICENSING,005139,"AMUSEMENT, SHOW, AND FIREWORKS LICENSES",1,0,"005140=LICENSES FOR AMUSEMENTS, SHOWS, OR FIREWORKS",1,AMUSEMENT FIREWORK LICENSE SHOW
005219,FEDERAL INCOME TAX,005238,GAIN AND LOSS REALIZATION AND RECOGNITION,0,1,005252=REALIZATION AND RECOGNITION OF GAIN OR LOSS,1,GAIN LOSS REALIZATION RECOGNITION
005295,CAPITAL GAINS AND LOSSES,005296,CAPITAL ASSET DEFINITION,0,1,005298=DEFINITION OF CAPITAL ASSET,1,ASSET CAPITAL DEFINITION
005351,TAXATION,005419,ESTATE AND INHERITANCE TAXES,1,0,006026=INHERITANCE AND ESTATE TAXES,1,ESTATE INHERITANCE TAXE
005351,TAXATION,006105,PROPERTY TAX ASSESSMENT,0,3,006090=PROPERTY TAX AND ASSESSMENTS,1,ASSESSMENT PROPERTY TAX
005351,TAXATION,006418,TAX ADMINISTRATION AND PROCEDURE,0,5,006499=TAX PROCEDURE AND ADMINISTRATION,1,ADMINISTRATION PROCEDURE TAX
005453,CAPITAL GAINS AND LOSSES,005454,CAPITAL ASSET DEFINITION,0,2,005458=DEFINITION OF CAPITAL ASSET,1,ASSET CAPITAL DEFINITION
005496,BUSINESS AND INVESTMENT LOSSES,005497,BAD DEBT DEDUCTION,1,0,005498=BAD-DEBT DEDUCTION,1,BAD DEBT DEDUCTION
005512,DEDUCTIONS AND CREDITS,005530,CAPITAL EXPENDITURES VERSUS CURRENT EXPENSES,0,2,005526=CAPITAL EXPENDITURE VERSUS CURRENT EXPENSE,1,CAPITAL CURRENT EXPENDITURE EXPENSE VERSU
006123,PROPERTY TAXATION,006161,VALUATION AND ASSESSMENT,0,9,006124=ASSESSMENT AND VALUATION,1,ASSESSMENT VALUATION
006174,VALUATION METHODOLOGY,006176,VALUE-IN-USE CONSIDERATION,1,0,006175=CONSIDERATION OF VALUE IN USE,1,CONSIDERATION USE VALUE
006256,STATE AND LOCAL TAXATION,006292,LICENSE AND OCCUPATION TAXES,0,2,006303=OCCUPATION AND LICENSE TAXES,1,LICENSE OCCUPATION TAXE
006256,STATE AND LOCAL TAXATION,006346,PROPERTY TAX ASSESSMENT AND VALUATION,0,2,006355=PROPERTY TAX VALUATION AND ASSESSMENT,1,ASSESSMENT PROPERTY TAX VALUATION
006379,STATE TAXATION,006384,GROSS RECEIPTS TAX,0,1,006403=TAX ON GROSS RECEIPTS,1,GROSS RECEIPT TAX
006379,STATE TAXATION,006386,INTERSTATE COMMERCE LIMITATION,0,1,006389=INTERSTATE COMMERCE LIMITATIONS,1,COMMERCE INTERSTATE LIMITATION
006468,TAX EXEMPTIONS,006471,CLASSIFICATION BY EXEMPTION,1,0,006472=CLASSIFICATION OF EXEMPTIONS,1,CLASSIFICATION EXEMPTION
006643,TAXATION AND REVENUE,006718,PROPERTY TAXATION,0,5,006792=TAXATION OF PROPERTY,1,PROPERTY TAXATION
007203,WATER LAW AND RESOURCE REGULATION,007224,IRRIGATION AND WATER RIGHTS ADMINISTRATION,0,3,007231=IRRIGATION AND WATER-RIGHTS ADMINISTRATION,1,ADMINISTRATION IRRIGATION RIGHT WATER
007400,,007710,ANTITRUST AND COMPETITION LAW,0,15,023624=COMPETITION AND ANTITRUST LAW;023648=COMPETITION LAW AND ANTITRUST,2,ANTITRUST COMPETITION LAW
007400,,007773,BANKING AND FINANCIAL INSTITUTIONS,0,16,035978=FINANCIAL INSTITUTIONS AND BANKING,1,BANKING FINANCIAL INSTITUTION
007400,,007914,BANKRUPTCY AND INSOLVENCY,0,306,036291=INSOLVENCY AND BANKRUPTCY,1,BANKRUPTCY INSOLVENCY
007400,,010470,"BANKRUPTCY, INSOLVENCY, AND DEBTOR-CREDITOR LAW",0,1,"036369=INSOLVENCY, BANKRUPTCY, AND DEBTOR-CREDITOR LAW",1,BANKRUPTCY CREDITOR DEBTOR INSOLVENCY LAW
007400,,023118,BUSINESS ORGANIZATIONS AND ASSOCIATIONS,0,7,010516=BUSINESS ASSOCIATIONS AND ORGANIZATIONS,1,ASSOCIATION BUSINESS ORGANIZATION
007400,,035224,CORPORATIONS AND BUSINESS ENTITIES,0,36,010579=BUSINESS ENTITIES AND CORPORATIONS,1,BUSINESS CORPORATION ENTITIE
007400,,023278,BUSINESS ORGANIZATIONS AND ENTITIES,0,5,010612=BUSINESS ENTITIES AND ORGANIZATIONS,1,BUSINESS ENTITIE ORGANIZATION
007400,,023149,BUSINESS ORGANIZATIONS AND CORPORATE GOVERNANCE,0,15,"023411=BUSINESS ORGANIZATIONS, CORPORATE GOVERNANCE",1,BUSINESS CORPORATE GOVERNANCE ORGANIZATION
007400,,035336,CORPORATIONS AND BUSINESS ORGANIZATIONS,0,15,"023241=BUSINESS ORGANIZATIONS AND CORPORATIONS;023415=BUSINESS ORGANIZATIONS, CORPORATIONS",2,BUSINESS CORPORATION ORGANIZATION
007400,,041606,SECURITIES REGULATION AND CAPITAL MARKETS,0,11,023453=CAPITAL MARKETS AND SECURITIES REGULATION;041365=SECURITIES AND CAPITAL MARKETS REGULATION,2,CAPITAL MARKET REGULATION SECURITIE
007400,,041908,TRANSPORTATION AND CARRIERS,0,4,023459=CARRIERS AND TRANSPORTATION,1,CARRIER TRANSPORTATION
007400,,037419,MARKETS AND COMMERCIAL ACTIVITIES,0,2,023471=COMMERCIAL ACTIVITIES AND MARKETS,1,ACTIVITIE COMMERCIAL MARKET
007400,,023508,COMMERCIAL INTERMEDIARIES AND AGENTS,0,2,023488=COMMERCIAL AGENTS AND INTERMEDIARIES,1,AGENT COMMERCIAL INTERMEDIARIE
007400,,037681,NEGOTIABLE INSTRUMENTS AND COMMERCIAL PAPER,0,10,023533=COMMERCIAL PAPER AND NEGOTIABLE INSTRUMENTS,1,COMMERCIAL INSTRUMENT NEGOTIABLE PAPER
007400,,024934,CORPORATE GOVERNANCE AND FINANCE,0,15,023789=CORPORATE FINANCE AND GOVERNANCE,1,CORPORATE FINANCE GOVERNANCE
007400,,023793,CORPORATE FINANCE AND SECURITIES,0,49,026466=CORPORATE SECURITIES AND FINANCE;041374=SECURITIES AND CORPORATE FINANCE,2,CORPORATE FINANCE SECURITIE
007400,,025494,CORPORATE GOVERNANCE AND INTERNAL REGULATION,0,2,025503=CORPORATE GOVERNANCE AND INTERNAL REGULATIONS,1,CORPORATE GOVERNANCE INTERNAL REGULATION
007400,,025661,CORPORATE GOVERNANCE AND ORGANIZATION,0,5,026421=CORPORATE ORGANIZATIONS AND GOVERNANCE,1,CORPORATE GOVERNANCE ORGANIZATION
007400,,026024,CORPORATE GOVERNANCE AND STRUCTURE,0,34,026804=CORPORATE STRUCTURE AND GOVERNANCE,1,CORPORATE GOVERNANCE STRUCTURE
007400,,026816,"CORPORATE STRUCTURE, GOVERNANCE, AND FUNDAMENTAL CHANGES",0,2,"026147=CORPORATE GOVERNANCE, STRUCTURE, AND FUNDAMENTAL CHANGES",1,CHANGE CORPORATE FUNDAMENTAL GOVERNANCE STRUCTURE
007400,,026163,"CORPORATE INSOLVENCY, DISSOLUTION, AND RECEIVERSHIP",0,1,"026167=CORPORATE INSOLVENCY, RECEIVERSHIP, AND DISSOLUTION",1,CORPORATE DISSOLUTION INSOLVENCY RECEIVERSHIP
007400,,026665,CORPORATE SECURITIES AND SHAREHOLDINGS,0,9,026661=CORPORATE SECURITIES AND SHAREHOLDING,1,CORPORATE SECURITIE SHAREHOLDING
007400,,037020,LABOR AND EMPLOYMENT LAW,0,49,035682=EMPLOYMENT AND LABOR LAW,1,EMPLOYMENT LABOR LAW
007400,,037206,LABOR AND EMPLOYMENT RELATIONS,0,10,035692=EMPLOYMENT AND LABOR RELATIONS,1,EMPLOYMENT LABOR RELATION
007400,,035760,EMPLOYMENT RELATIONSHIP,0,13,035816=EMPLOYMENT RELATIONSHIPS,1,EMPLOYMENT RELATIONSHIP
007400,,036122,FINANCIAL MARKETS AND INSTITUTIONS,0,15,035989=FINANCIAL INSTITUTIONS AND MARKETS,1,FINANCIAL INSTITUTION MARKET
007400,,036171,FINANCIAL MARKETS AND INSTRUMENTS,0,7,036080=FINANCIAL INSTRUMENTS AND MARKETS;037466=MARKETS AND FINANCIAL INSTRUMENTS,2,FINANCIAL INSTRUMENT MARKET
007400,,041382,SECURITIES AND FINANCIAL INSTRUMENTS,0,4,036100=FINANCIAL INSTRUMENTS AND SECURITIES,1,FINANCIAL INSTRUMENT SECURITIE
007400,,036248,FINANCIAL REGULATION AND MARKETS,0,3,036200=FINANCIAL MARKETS AND REGULATION,1,FINANCIAL MARKET REGULATION
007400,,036203,FINANCIAL MARKETS AND SECURITIES REGULATION,0,2,041418=SECURITIES AND FINANCIAL MARKETS REGULATION,1,FINANCIAL MARKET REGULATION SECURITIE
007400,,036208,FINANCIAL MARKETS AND SERVICES,0,2,037476=MARKETS AND FINANCIAL SERVICES,1,FINANCIAL MARKET SERVICE
007400,,037362,LIMITED PARTNERSHIP,0,2,037374=LIMITED PARTNERSHIPS,1,LIMITED PARTNERSHIP
007400,,039110,PARTNERSHIPS,0,285,037767=PARTNERSHIP,1,PARTNERSHIP
007400,,040890,PARTNERSHIPS AND JOINT VENTURES,0,36,039065=PARTNERSHIP AND JOINT VENTURES,1,JOINT PARTNERSHIP VENTURE
007400,,041019,PARTNERSHIPS AND OTHER UNINCORPORATED ASSOCIATIONS,0,3,039069=PARTNERSHIP AND OTHER UNINCORPORATED ASSOCIATIONS,1,ASSOCIATION OTHER PARTNERSHIP UNINCORPORATED
007400,,041027,PARTNERSHIPS AND UNINCORPORATED ASSOCIATIONS,0,55,039073=PARTNERSHIP AND UNINCORPORATED ASSOCIATIONS,1,ASSOCIATION PARTNERSHIP UNINCORPORATED
007400,,041904,TRANSPORTATION AND CARRIER REGULATION,0,1,041329=REGULATION OF CARRIERS AND TRANSPORTATION,1,CARRIER REGULATION TRANSPORTATION
007404,AGENCY,007419,AUTHORITY OF AGENT,0,3,007427=AUTHORITY OF AGENTS,1,AGENT AUTHORITY
007404,AGENCY,007491,DUTIES OF AGENT TO PRINCIPAL,1,3,007490=DUTIES OF AGENT AND PRINCIPAL;007500=DUTIES OF PRINCIPAL TO AGENT,2,AGENT DUTIE PRINCIPAL
007552,BROKERS,007563,REAL ESTATE BROKERS,0,2,007561=REAL ESTATE BROKER,1,BROKER ESTATE REAL
007654,AUTHORITY AND LIABILITY,007657,CONTRACT LIABILITY OF AGENT,1,0,007660=CONTRACT LIABILITY OF THE AGENT,1,AGENT CONTRACT LIABILITY
007710,ANTITRUST AND COMPETITION LAW,007729,RESTRAINT OF TRADE,1,0,007730=RESTRAINTS OF TRADE,1,RESTRAINT TRADE
007773,BANKING AND FINANCIAL INSTITUTIONS,007774,BANK COLLECTIONS AND DEPOSITS,0,1,007776=BANK DEPOSITS AND COLLECTIONS,1,BANK COLLECTION DEPOSIT
007899,TRUSTEES IN BANKRUPTCY,007907,TRUSTEE POWERS AND DUTIES,0,1,007900=POWERS AND DUTIES OF TRUSTEES,1,DUTIE POWER TRUSTEE
007914,BANKRUPTCY AND INSOLVENCY,007944,ADJUDICATION IN BANKRUPTCY,0,4,007951=ADJUDICATION OF BANKRUPTCY,1,ADJUDICATION BANKRUPTCY
007914,BANKRUPTCY AND INSOLVENCY,007953,ADJUDICATION PROCEEDINGS,0,1,009820=PROCEEDINGS AND ADJUDICATION,1,ADJUDICATION PROCEEDING
007914,BANKRUPTCY AND INSOLVENCY,008365,BANKRUPTCY ESTATE ADMINISTRATION,0,38,007955=ADMINISTRATION OF BANKRUPTCY ESTATE;008057=ADMINISTRATION OF BANKRUPTCY ESTATES;008150=ADMINISTRATION OF THE BANKRUPTCY ESTATE;008467=BANKRUPTCY ESTATE AND ADMINISTRATION;008583=BANKRUPTCY ESTATES AND ADMINISTRATION;009432=ESTATE ADMINISTRATION IN BANKRUPTCY,6,ADMINISTRATION BANKRUPTCY ESTATE
007914,BANKRUPTCY AND INSOLVENCY,008130,ADMINISTRATION OF ESTATE,0,5,008144=ADMINISTRATION OF ESTATES;008153=ADMINISTRATION OF THE ESTATE,2,ADMINISTRATION ESTATE
007914,BANKRUPTCY AND INSOLVENCY,009600,LIQUIDATION AND DISTRIBUTION OF ASSETS,0,8,008192=ASSET DISTRIBUTION AND LIQUIDATION;008195=ASSET LIQUIDATION AND DISTRIBUTION,2,ASSET DISTRIBUTION LIQUIDATION
007914,BANKRUPTCY AND INSOLVENCY,009662,LIQUIDATION AND SALE OF ASSETS,0,3,008198=ASSET LIQUIDATION AND SALE,1,ASSET LIQUIDATION SALE
007914,BANKRUPTCY AND INSOLVENCY,008214,ASSIGNMENTS FOR THE BENEFIT OF CREDITORS,0,2,008211=ASSIGNMENT FOR BENEFIT OF CREDITORS,1,ASSIGNMENT BENEFIT CREDITOR
