parent,parent_label,winner_notation,winner_label,winner_sources,winner_children,losers,n_losers
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000831,ADMINISTRATIVE PROCEDURE AND AGENCY GOVERNANCE,0,3,000849=ADMINISTRATIVE PROCEDURE AND GOVERNANCE,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",002864,GOVERNMENT ETHICS AND CONDUCT,0,3,002866=GOVERNMENT ETHICS AND CONDUCT OF PUBLIC OFFICIALS;002882=GOVERNMENT ETHICS AND OFFICIAL CONDUCT,2
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",004307,MUNICIPAL LAW AND LOCAL GOVERNANCE,0,2,004303=MUNICIPAL LAW AND GOVERNANCE,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",004955,PUBLIC UTILITIES AND REGULATED INDUSTRIES,0,8,004940=PUBLIC UTILITIES AND COMMON CARRIERS,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000105,ADMINISTRATIVE AGENCIES AND BODIES,0,1,000107=ADMINISTRATIVE AGENCIES AND COMMISSIONS;000115=ADMINISTRATIVE AGENCIES AND INSTITUTIONS,2
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001807,FEDERAL REGULATORY BODIES,0,3,001782=FEDERAL EXECUTIVE AGENCIES;001804=FEDERAL REGULATORY AGENCIES,2
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",004268,MUNICIPAL GOVERNANCE AND POLICE POWER,0,6,004291=MUNICIPAL GOVERNMENT AND POLICE POWER,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001655,ENVIRONMENTAL LAW,0,27,001631=ENVIRONMENTAL AND NATURAL RESOURCES LAW;001731=ENVIRONMENTAL LAW AND POLICY;001735=ENVIRONMENTAL LAW AND REGULATION;001747=ENVIRONMENTAL PROTECTION LAW;001750=ENVIRONMENTAL REGULATION,5
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001368,COMMUNICATIONS AND TELECOMMUNICATIONS REGULATION,0,2,001376=COMMUNICATIONS REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000118,ADMINISTRATIVE AGENCIES AND OFFICERS,0,2,000121=ADMINISTRATIVE AGENCIES AND OFFICIALS,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001571,DELEGATION OF LEGISLATIVE AUTHORITY,0,1,001568=DELEGATED OR SUBORDINATE LEGISLATION AND RULEMAKING,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000130,ADMINISTRATIVE AGENCIES AND PROCEDURE,0,3,000100=ADMINISTRATIVE AGENCIES AND ADMINISTRATIVE PROCEDURE,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",003841,LICENSING AND PERMITS,0,4,003848=LICENSING AND PERMITTING,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",006609,TAXATION AND PUBLIC FINANCE,0,9,"006836=TAXATION, REVENUE, AND PUBLIC FINANCE",1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001120,AGENCY DECISIONMAKING AND PROCESS,0,3,001117=AGENCY DECISION-MAKING AND PROCESS,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",004981,PUBLIC UTILITIES AND SERVICES,0,3,005091=REGULATION OF PUBLIC UTILITIES AND SERVICES,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000013,ADMINISTRATIVE ADJUDICATION,0,8,000047=ADMINISTRATIVE ADJUDICATION AND AGENCY ACTION;000051=ADMINISTRATIVE ADJUDICATION AND AGENCY PROCESS;000055=ADMINISTRATIVE ADJUDICATION AND DECISION-MAKING,3
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",003927,LOCAL GOVERNMENT AND MUNICIPAL LAW,0,33,003861=LOCAL GOVERNMENT AND MUNICIPAL CORPORATIONS;004128=LOCAL GOVERNMENT LAW;004259=MUNICIPAL CORPORATIONS AND LOCAL GOVERNMENT LAW;004298=MUNICIPAL LAW,4
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001379,COMPETITION AND ANTITRUST,0,3,001386=COMPETITION AND ANTITRUST LAW,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001789,FEDERAL INCOME TAXATION,0,4,001785=FEDERAL INCOME TAX,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001087,ADMINISTRATIVE TRANSPARENCY AND PUBLIC INFORMATION ACCESS,0,5,001077=ADMINISTRATIVE TRANSPARENCY AND ACCESS TO INFORMATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001346,CHARITIES AND NON-PROFIT REGULATION,0,2,001343=CHARITABLE ORGANIZATIONS AND NONPROFIT REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",004178,MINING AND MINERAL LAW,0,1,004181=MINING LAW AND REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001990,FOOD AND AGRICULTURE LAW,0,11,002020=FOOD AND AGRICULTURE REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000420,ADMINISTRATIVE LAW AND AGENCY PROCESS,0,1,000415=ADMINISTRATIVE LAW AND AGENCY PROCEDURE,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",004855,PUBLIC PROCUREMENT AND CONTRACTING,0,26,004750=PUBLIC CONTRACTS AND PROCUREMENT;004910=PUBLIC PROCUREMENT AND GOVERNMENT CONTRACTING,2
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",005034,REGULATION OF ECONOMIC ACTIVITY,0,2,005031=REGULATION OF ECONOMIC ACTIVITIES,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",007382,WORKPLACE HEALTH AND SAFETY REGULATION,0,5,007379=WORKPLACE AND OCCUPATIONAL SAFETY AND HEALTH;007391=WORKPLACE SAFETY AND HEALTH,2
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",004287,MUNICIPAL GOVERNANCE AND REGULATION,0,1,004294=MUNICIPAL GOVERNMENT AND REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",007255,WELFARE AND PUBLIC ASSISTANCE,0,9,007264=WELFARE AND PUBLIC ASSISTANCE PROGRAMS;007277=WELFARE AND PUBLIC BENEFIT PROGRAMS;007281=WELFARE AND PUBLIC BENEFITS;007287=WELFARE PROGRAMS,4
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",002873,GOVERNMENT ETHICS AND INTEGRITY,0,2,002859=GOVERNMENT ETHICS AND ACCOUNTABILITY,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001050,ADMINISTRATIVE RULEMAKING AND REGULATORY AUTHORITY,0,6,001158=AGENCY RULEMAKING AND REGULATORY AUTHORITY,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",002985,HEALTH LAW,0,11,003084=HEALTHCARE LAW,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",006863,TECHNOLOGY AND DIGITAL GOVERNANCE,0,4,006996=TECHNOLOGY LAW AND DIGITAL GOVERNANCE,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001619,ENERGY REGULATION,0,6,001617=ENERGY LAW AND REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",003708,LABOR AND EMPLOYMENT,0,2,003712=LABOR AND EMPLOYMENT LAW,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001178,AGRICULTURAL AND FOOD REGULATION,0,1,001172=AGRICULTURAL AND FOOD LAW,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000478,ADMINISTRATIVE LAW FOUNDATIONS,0,2,000480=ADMINISTRATIVE LAW FOUNDATIONS AND PRINCIPLES;000483=ADMINISTRATIVE LAW FOUNDATIONS AND SCOPE;000486=ADMINISTRATIVE LAW FOUNDATIONS AND SOURCES;000489=ADMINISTRATIVE LAW FOUNDATIONS AND THEORY,4
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",007371,WORKERS' COMPENSATION AND OCCUPATIONAL SAFETY,0,3,007376=WORKERS' COMPENSATION AND WORKPLACE SAFETY,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001420,CONSUMER PROTECTION,0,19,001482=CONSUMER PROTECTION AND ADVERTISING REGULATION;001485=CONSUMER PROTECTION AND FAIR TRADE PRACTICES;001496=CONSUMER PROTECTION AND MARKETING REGULATION;001508=CONSUMER PROTECTION AND TRADE REGULATION;001515=CONSUMER PROTECTION LAW;001523=CONSUMER PROTECTION REGULATION,6
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000914,ADMINISTRATIVE PROCEDURE AND PROCESS,0,7,000837=ADMINISTRATIVE PROCEDURE AND AGENCY PROCESS,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001040,ADMINISTRATIVE RULEMAKING AND REGULATION,0,4,001154=AGENCY RULEMAKING AND REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001545,DATA PROTECTION AND PRIVACY,0,9,001558=DATA PROTECTION AND PRIVACY REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",006872,TECHNOLOGY AND DIGITAL PLATFORM GOVERNANCE,0,1,006876=TECHNOLOGY AND DIGITAL PLATFORM REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",007018,TECHNOLOGY LAW AND INTERNET PLATFORMS,0,1,007015=TECHNOLOGY LAW AND INTERNET INTERMEDIARIES,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",002903,GOVERNMENT REVENUE AND TAXATION,0,2,002929=GOVERNMENTAL REVENUE AND TAXATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000653,ADMINISTRATIVE PROCEDURE ACT,0,5,000669=ADMINISTRATIVE PROCEDURE ACT (APA),1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",002196,FOOD AND DRUG REGULATION,0,86,002043=FOOD AND DRUG LAW,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",007045,TRANSPORTATION AND CARRIER REGULATION,0,4,007052=TRANSPORTATION AND COMMON CARRIER REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001578,ECONOMIC REGULATION,0,3,001585=ECONOMIC REGULATION OF BUSINESS AND COMMERCE,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001233,BANKING AND FINANCIAL REGULATION,0,9,001218=BANKING AND FINANCIAL INSTITUTIONS REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",003623,JUDICIAL REVIEW OF AGENCY ACTION,0,12,003699=JUDICIAL REVIEW OF AGENCY DECISIONS,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",006842,TECHNOLOGY AND COMMUNICATIONS LAW,0,4,006926=TECHNOLOGY AND TELECOMMUNICATIONS LAW,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000435,ADMINISTRATIVE LAW AND PROCEDURE,0,7,000454=ADMINISTRATIVE LAW AND PROCESS,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001848,FINANCIAL MARKETS REGULATION,0,3,001845=FINANCIAL MARKETS AND SECURITIES REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001202,ANIMAL WELFARE AND PROTECTION,0,3,001199=ANIMAL LAW AND WELFARE,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",004093,LOCAL GOVERNMENT AND MUNICIPAL REGULATION,0,11,004144=LOCAL GOVERNMENT REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",004550,NATURAL RESOURCES LAW,0,3,004555=NATURAL RESOURCES REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",004574,OCCUPATIONAL SAFETY AND HEALTH,0,28,004678=OCCUPATIONAL SAFETY AND HEALTH LAW;004685=OCCUPATIONAL SAFETY AND HEALTH REGULATION,2
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",006936,TECHNOLOGY LAW,0,10,006869=TECHNOLOGY AND DIGITAL LAW,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000163,ADMINISTRATIVE AGENCIES AND REGULATORY PROCESS,0,3,000471=ADMINISTRATIVE LAW AND REGULATORY PROCESS,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",004563,OCCUPATIONAL AND PROFESSIONAL LICENSING,0,2,004566=OCCUPATIONAL AND PROFESSIONAL REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000384,ADMINISTRATIVE LAW AND AGENCY ACTION,0,5,000185=ADMINISTRATIVE AGENCY ACTION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",005184,RULEMAKING,0,2,005181=REGULATORY PROCESS AND RULEMAKING,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001538,CYBERSECURITY LAW AND POLICY,0,2,001534=CYBERSECURITY AND INFORMATION SECURITY,1
000013,ADMINISTRATIVE ADJUDICATION,000019,CONSTITUTIONAL DUE PROCESS REQUIREMENTS,0,8,000016=CONSTITUTIONAL DUE PROCESS;000028=DUE PROCESS;000030=DUE PROCESS REQUIREMENTS,3
000013,ADMINISTRATIVE ADJUDICATION,000037,PROCEDURAL DUE PROCESS,0,4,000045=PROCEDURAL DUE PROCESS IN AGENCY PROCEEDINGS,1
000019,CONSTITUTIONAL DUE PROCESS REQUIREMENTS,000022,PROTECTED INTERESTS TRIGGERING DUE PROCESS,0,3,000020=PROTECTED INTERESTS,1
000075,ADMINISTRATIVE AGENCIES,000092,AGENCY PROCEDURE,0,2,000084=ADMINISTRATIVE PROCEDURE,1
000075,ADMINISTRATIVE AGENCIES,000095,CREATION AND ESTABLISHMENT,0,3,000098=CREATION AND ESTABLISHMENT OF AGENCIES,1
000076,ADJUDICATION,000082,PROCEDURAL DUE PROCESS,0,3,000077=CONSTITUTIONAL DUE PROCESS;000080=DUE PROCESS REQUIREMENTS,2
000095,CREATION AND ESTABLISHMENT,000097,ORIGINS AND OVERVIEW,1,0,000096=ORIGINS AND CONSTITUTIONAL BASIS,1
000138,ADMINISTRATIVE AGENCIES AND REGULATION,000145,AGENCY RULEMAKING,0,1,000141=AGENCY GUIDANCE AND RULEMAKING;000147=RULEMAKING AND AGENCY POLICYMAKING,2
000153,ADMINISTRATIVE AGENCIES AND REGULATORY BODIES,000154,FEDERAL AGENCIES,0,2,000158=FEDERAL REGULATORY AGENCIES,1
000195,ADMINISTRATIVE LAW,000299,JUDICIAL REVIEW OF AGENCY ACTION,0,12,000295=JUDICIAL REVIEW,1
000195,ADMINISTRATIVE LAW,000250,CITIZEN AND ADMINISTRATION,0,5,000264=CITIZEN-STATE RELATIONS;000266=CITIZEN–ADMINISTRATION RELATIONSHIP,2
000195,ADMINISTRATIVE LAW,000211,ADMINISTRATIVE PROCEDURE ACT,0,6,000276=FEDERAL ADMINISTRATIVE PROCEDURE ACT (APA),1
000195,ADMINISTRATIVE LAW,000339,RULEMAKING,0,9,000223=ADMINISTRATIVE RULEMAKING AND REGULATIONS,1
000195,ADMINISTRATIVE LAW,000282,GENERAL PRINCIPLES,0,1,000331=PRINCIPLES AND OVERVIEW,1
000195,ADMINISTRATIVE LAW,000237,AGENCY ADJUDICATION,0,3,000196=ADMINISTRATIVE ADJUDICATION,1
000195,ADMINISTRATIVE LAW,000329,NATURE AND SCOPE OF ADMINISTRATIVE LAW,6,0,"000271=DEFINITION AND SCOPE;000330=NATURE, SCOPE, AND DEFINITION",2
000195,ADMINISTRATIVE LAW,000292,HISTORY OF ADMINISTRATIVE REGULATION,1,0,000285=HISTORICAL DEVELOPMENT;000288=HISTORICAL FOUNDATIONS AND DEVELOPMENT;000290=HISTORY,3
000195,ADMINISTRATIVE LAW,000246,AGENCY PROCEEDINGS,0,2,000218=ADMINISTRATIVE PROCEEDINGS,1
000195,ADMINISTRATIVE LAW,000294,INTRODUCTORY MATERIALS,2,0,000293=INTRODUCTION TO ADMINISTRATIVE LAW,1
000201,ADMINISTRATIVE PROCEDURE,000207,GENERAL ADMINISTRATIVE PROCEEDINGS,1,0,000208=GENERAL FRAMEWORK AND PRINCIPLES OF ADMINISTRATIVE PROCEDURE,1
000211,ADMINISTRATIVE PROCEDURE ACT,000214,OVERVIEW AND SOURCES,4,0,000212=INTRODUCTION AND OVERVIEW;000213=OVERVIEW AND GENERAL FRAMEWORK;000215=OVERVIEW AND STRUCTURE,3
000250,CITIZEN AND ADMINISTRATION,000251,ADMINISTRATIVE CAPACITY,0,2,000254=ADMINISTRATIVE STATUS AND CAPACITY,1
000295,JUDICIAL REVIEW,000298,JUDICIAL REVIEW OF AGENCY DECISIONS,1,1,000296=AGENCY DECISIONS AND ACTIONS,1
000299,JUDICIAL REVIEW OF AGENCY ACTION,000316,CHEVRON DEFERENCE,0,2,000318=CHEVRON DEFERENCE DOCTRINE,1
000299,JUDICIAL REVIEW OF AGENCY ACTION,000310,AGENCY STATUTORY INTERPRETATION,0,3,000307=AGENCY INTERPRETATION OF STATUTES,1
000339,RULEMAKING,000348,APA INFORMAL RULEMAKING (SECTION 553),0,10,000340=ADMINISTRATIVE PROCEDURE ACT SECTION 553;000346=APA INFORMAL RULEMAKING;000351=APA SECTION 553;000357=APA SECTION 553 RULEMAKING;000360=INFORMAL RULEMAKING,5
000384,ADMINISTRATIVE LAW AND AGENCY ACTION,000390,JUDICIAL REVIEW OF AGENCY ACTION,0,4,000399=JUDICIAL REVIEW OF AGENCY DECISIONS,1
000426,ADMINISTRATIVE LAW AND GOVERNMENT ORGANIZATION,000427,STRUCTURE OF ADMINISTRATIVE AGENCIES,0,2,000429=STRUCTURE OF THE ADMINISTRATIVE STATE,1
000435,ADMINISTRATIVE LAW AND PROCEDURE,000446,AGENCY RULEMAKING,0,2,000439=ADMINISTRATIVE RULEMAKING AND REGULATORY TOOLS;000444=AGENCY DECISION-MAKING AND RULEMAKING,2
000507,ADMINISTRATIVE ORGANIZATION AND STRUCTURE,000515,ADMINISTRATIVE ORGANS AND UNITS,2,1,000508=ADMINISTRATIVE ORGANS AND BODIES,1
000511,ADMINISTRATIVE ORGANS AND THEIR OPERATION,000514,SUPLENCIA (TEMPORARY SUBSTITUTION) OF THE HOLDER OF AN ADMINISTRATIVE ORGAN,2,1,000512=SUBSTITUTION OF ADMINISTRATIVE OFFICIALS,1
000520,ADMINISTRATIVE PROCEDURE,000535,ADMINISTRATIVE PROCEDURE ACT,0,4,000538=ADMINISTRATIVE PROCEDURE ACT (APA),1
000520,ADMINISTRATIVE PROCEDURE,000651,TERMINATION OF PROCEEDINGS,0,2,000649=TERMINATION OF ADMINISTRATIVE PROCEEDINGS,1
000521,ADJUDICATION,000526,FORMAL ADJUDICATION UNDER THE APA,1,2,000522=FORMAL ADJUDICATION;000524=FORMAL ADJUDICATION REQUIREMENTS UNDER THE APA,2
000538,ADMINISTRATIVE PROCEDURE ACT (APA),000540,OVERVIEW AND INTRODUCTION,2,0,000539=OVERVIEW AND GENERAL PRINCIPLES,1
000557,FORMAL ADJUDICATION,000559,EVIDENCE AND DISCOVERY,0,2,000561=EVIDENTIARY AND INVESTIGATORY PROCEDURES,1
000557,FORMAL ADJUDICATION,000569,RIGHT TO COUNSEL AND REPRESENTATION,0,2,"000563=NOTICE, HEARING, AND RIGHT TO COUNSEL",1
000557,FORMAL ADJUDICATION,000567,PROCEDURAL RIGHTS,0,1,000565=PROCEDURAL REQUIREMENTS,1
000557,FORMAL ADJUDICATION,000573,SEPARATION OF FUNCTIONS AND EX PARTE COMMUNICATIONS,2,0,000571=SEPARATION OF FUNCTIONS,1
000581,RULEMAKING,000588,APA SECTION 553,0,2,000594=APA SECTION 553 RULEMAKING,1
000581,RULEMAKING,000602,INFORMAL RULEMAKING UNDER APA SECTION 553,1,8,000600=INFORMAL RULEMAKING,1
000581,RULEMAKING,000617,LIMITS ON RULEMAKING PROCEDURES,2,1,000635=PROCEDURAL LIMITS ON RULEMAKING,1
000581,RULEMAKING,000597,FORMAL RULEMAKING,1,1,000598=FORMAL RULEMAKING REQUIREMENTS,1
000581,RULEMAKING,000626,NOTICE AND COMMENT RULEMAKING,1,6,000620=NOTICE AND COMMENT REQUIREMENTS,1
000581,RULEMAKING,000636,PUBLIC PARTICIPATION,3,1,000637=PUBLIC PARTICIPATION IN RULEMAKING,1
000602,INFORMAL RULEMAKING UNDER APA SECTION 553,000604,INTRODUCTION TO RULEMAKING,1,0,000605=OVERVIEW AND GENERAL PRINCIPLES,1
000657,RULEMAKING,000658,APA SECTION 553 NOTICE-AND-COMMENT RULEMAKING,1,2,000659=INFORMAL RULEMAKING UNDER SECTION 553;000663=SECTION 553 PROCEDURES,2
