parent,parent_label,winner_notation,winner_label,winner_sources,winner_children,losers,n_losers
001027,ADMINISTRATIVE RULEMAKING,001035,INFORMAL RULEMAKING,0,3,001032=INFORMAL NOTICE-AND-COMMENT RULEMAKING,1
001050,ADMINISTRATIVE RULEMAKING AND REGULATORY AUTHORITY,001055,TYPES OF ADMINISTRATIVE REGULATIONS,0,4,001061=TYPES OF REGULATIONS,1
001137,RULEMAKING PETITIONS AND UNREASONABLE DELAY,001138,JUDICIAL REVIEW OF AGENCY DELAY,2,0,001139=JUDICIAL REVIEW OF AGENCY INACTION,1
001158,AGENCY RULEMAKING AND REGULATORY AUTHORITY,001162,INFORMAL RULEMAKING UNDER APA SECTION 553,0,3,001159=ADMINISTRATIVE PROCEDURE ACT SECTION 553 RULEMAKING,1
001255,BANKRUPTCY AND DEBTOR-CREDITOR LAW,001259,BANKRUPTCY PROCEEDINGS,0,3,001256=BANKRUPTCY PROCEDURES,1
001398,CONSUMER FINANCIAL PROTECTION,001404,CREDIT AND LENDING REGULATION,0,2,001399=CONSUMER CREDIT AND LENDING REGULATION,1
001398,CONSUMER FINANCIAL PROTECTION,001412,DODD-FRANK ACT REGULATORY REGIMES,0,2,001409=DODD-FRANK ACT REGULATORY FRAMEWORK,1
001420,CONSUMER PROTECTION,001467,STATE ENFORCEMENT,0,2,001470=STATE ENFORCEMENT AUTHORITY,1
001420,CONSUMER PROTECTION,001446,ENFORCEMENT MECHANISMS AND REMEDIES,0,3,001427=ENFORCEMENT AND REMEDIES,1
001436,ENFORCEMENT BY STATE ATTORNEYS GENERAL,001439,MULTISTATE ACTIONS,3,0,001440=MULTISTATE COORDINATED ACTIONS;001441=MULTISTATE ENFORCEMENT ACTIONS,2
001436,ENFORCEMENT BY STATE ATTORNEYS GENERAL,001443,SINGLE-STATE MATTERS,2,0,001442=SINGLE-STATE CONSUMER PROTECTION MATTERS,1
001452,STATE ATTORNEY GENERAL ENFORCEMENT,001463,SINGLE-STATE ACTIONS,2,0,001464=SINGLE-STATE ENFORCEMENT ACTIONS,1
001496,CONSUMER PROTECTION AND MARKETING REGULATION,001497,FOOD AND DRUG LAW,0,2,001500=FOOD AND DRUG REGULATION,1
001851,FINANCIAL REGULATION,001918,REGULATORY STRUCTURE AND FRAMEWORKS,3,1,001910=REGULATORY FRAMEWORKS AND INSTITUTIONAL STRUCTURE,1
001851,FINANCIAL REGULATION,001914,REGULATORY SCOPE AND COVERAGE,0,2,001919=SCOPE AND COVERAGE OF REGULATION,1
001851,FINANCIAL REGULATION,001866,BANKING REGULATION,0,4,001861=BANKING LAW AND REGULATION,1
001867,INSURED DEPOSITORY INSTITUTIONS,001870,CAPITAL REQUIREMENTS,0,2,001868=CAPITAL ADEQUACY REQUIREMENTS,1
001899,INSURANCE REGULATION,001902,INTRODUCTION AND OVERVIEW,0,0,001903=INTRODUCTION AND OVERVIEW OF INSURANCE REGULATION,1
001947,FINANCIAL REGULATION AND CONSUMER PROTECTION,001953,CONSUMER FINANCIAL PROTECTION BUREAU,0,2,001955=CONSUMER FINANCIAL PROTECTION BUREAU (CFPB),1
001965,STATE INSURANCE STATUTES AND REGULATIONS,001966,SPECIFIC STATE INSURANCE CODE PROVISIONS,1,1,001967=SPECIFIC STATE INSURANCE LEGISLATION,1
001990,FOOD AND AGRICULTURE LAW,001999,FOOD REGULATION AND SAFETY,0,1,002001=FOOD SAFETY AND QUALITY REGULATION,1
002043,FOOD AND DRUG LAW,002098,FOOD MARKETING,0,2,002101=FOOD MARKETING AND ADVERTISING,1
002070,FOOD LABELING,002073,AFFIRMATIVE LABELING REQUIREMENTS,0,0,002071=AFFIRMATIVE DISCLOSURE REQUIREMENTS,1
002124,FOOD SAFETY AND ADULTERATION,002127,ECONOMICALLY MOTIVATED ADULTERATION,1,4,002128=ECONOMICALLY MOTIVATED ADULTERATION (EMA),1
002145,FOOD SAFETY REGULATION,002146,ADULTERATION,0,2,002160=FOOD ADULTERATION,1
002196,FOOD AND DRUG REGULATION,002679,PUBLIC HEALTH AND SAFETY,0,2,002681=PUBLIC HEALTH AND SAFETY STANDARDS,1
002196,FOOD AND DRUG REGULATION,002577,FOOD SAFETY MODERNIZATION ACT (FSMA),0,3,002244=FEDERAL FOOD SAFETY MODERNIZATION ACT (FSMA),1
002196,FOOD AND DRUG REGULATION,002263,FOOD AND DRUG ADMINISTRATION,0,3,002265=FOOD AND DRUG ADMINISTRATION (FDA),1
002216,DIETARY SUPPLEMENTS,002217,DIETARY SUPPLEMENT HEALTH AND EDUCATION ACT REGULATORY FRAMEWORK,1,5,002218=DSHEA REGULATORY FRAMEWORK;002221=DSHEA REGULATORY REGIME,2
002255,FOOD ADULTERATION,002256,ECONOMICALLY MOTIVATED ADULTERATION,0,2,002258=ECONOMICALLY MOTIVATED ADULTERATION (EMA),1
002271,FOOD LABELING,002277,AFFIRMATIVE LABELING REQUIREMENTS,1,10,002272=AFFIRMATIVE LABEL REQUIREMENTS,1
002271,FOOD LABELING,002300,MEAT AND POULTRY LABELING,0,2,002302=MEAT AND POULTRY PRODUCTS LABELING,1
002333,FOOD LABELING AND DISCLOSURE,002343,WARNING LABELS,0,2,002341=WARNING LABEL REQUIREMENTS,1
002333,FOOD LABELING AND DISCLOSURE,002335,MENU LABELING,0,2,002337=MENU LABELING REQUIREMENTS,1
002368,FOOD LABELING AND MISBRANDING,002371,FRONT-OF-PACKAGE LABELING,0,5,002374=FRONT-OF-PACKAGE LABELING REQUIREMENTS,1
002382,FOOD LABELING AND STANDARDS,002384,ORGANIC CERTIFICATION,0,0,002388=ORGANIC FOOD CERTIFICATION,1
002392,FOOD LABELING REQUIREMENTS,002395,AFFIRMATIVE LABEL DISCLOSURES,0,3,002393=AFFIRMATIVE LABEL CONTENT MANDATES;002397=AFFIRMATIVE LABEL REQUIREMENTS,2
002406,FOOD MARKETING AND ADVERTISING,002407,CHILD-DIRECTED ADVERTISING RESTRICTIONS,1,0,002408=MARKETING TO CHILDREN;002410=REGULATION OF MARKETING TO CHILDREN,2
002440,FOOD SAFETY,002446,ADULTERATION OF FOOD,1,4,002441=ADULTERATION,1
002440,FOOD SAFETY,002463,FOOD ADDITIVES AND CONTAMINANTS,0,0,002458=FOOD ADDITIVES AND CHEMICAL CONTAMINANTS,1
002441,ADULTERATION,002443,REGULATORY LIMITS AND TOLERANCES,3,0,"002444=REGULATORY THRESHOLDS AND ACTION LEVELS;002445=TOLERANCE LEVELS, ACTION LEVELS, AND REGULATORY LIMITS",2
002460,FOOD ADDITIVES AND CHEMICALS,002461,GENERALLY RECOGNIZED AS SAFE (GRAS) DESIGNATION,4,0,002462=GENERALLY RECOGNIZED AS SAFE (GRAS) DETERMINATIONS,1
002509,ECONOMICALLY MOTIVATED ADULTERATION,002510,REGULATORY ENFORCEMENT TOOLS,2,0,002511=REGULATORY TOOLS AND REMEDIES,1
002539,FOOD SAFETY AND SANITATION,002540,COTTAGE FOOD OPERATIONS,0,2,002546=HOME-BASED FOOD OPERATIONS,1
002550,FOOD SAFETY AND STANDARDS,002551,ECONOMIC ADULTERATION OF FOOD,0,2,002553=ECONOMICALLY MOTIVATED ADULTERATION,1
002571,FOOD SAFETY LAW,002572,FOOD ADDITIVES AND CHEMICALS,0,2,002574=FOOD ADDITIVES AND SUBSTANCES,1
002577,FOOD SAFETY MODERNIZATION ACT (FSMA),002578,PREVENTIVE CONTROLS,1,1,002579=PREVENTIVE CONTROLS RULE,1
002604,LOCAL FOOD REGULATION,002605,FARMER'S MARKETS,2,1,002606=FARMERS' MARKETS,1
002728,COTTAGE FOOD OPERATIONS,002729,STATUTORY DEFINITION,2,0,002730=STATUTORY DEFINITION OF COTTAGE FOOD OPERATION,1
002798,FOOD SAFETY REGULATION,002808,FEDERAL REGULATORY FRAMEWORK,1,4,002809=FEDERAL REGULATORY REGIME,1
002809,FEDERAL REGULATORY REGIME,002812,"PREVENTION, INSPECTION, AND RISK",2,2,"002813=PREVENTION, INSPECTION, AND RISK CONTROL;002815=PREVENTION, INSPECTION, AND RISK MANAGEMENT",2
002833,GOVERNMENT CONTRACTING AND PUBLIC PROCUREMENT,002836,CONTRACTOR QUALIFICATION AND SOLVENCY,0,2,002838=CONTRACTOR QUALIFICATION AND SOLVENCY REQUIREMENTS,1
002876,POST-EMPLOYMENT RESTRICTIONS,002877,REVOLVING DOOR RULES,0,2,002880=REVOLVING DOOR STATUTES,1
002887,ACCESS TO PUBLIC INFORMATION,002890,EXEMPTIONS AND LIMITS ON ACCESS,1,1,002891=STATUTORY LIMITS AND EXEMPTIONS,1
002910,GOVERNMENT TRANSPARENCY AND INFORMATION ACCESS,002914,RIGHT OF ACCESS TO PUBLIC INFORMATION,0,2,002911=PUBLIC ACCESS TO GOVERNMENT INFORMATION,1
002952,HEALTH AND SAFETY REGULATION,002956,FOOD AND DRUG LAW,0,5,002963=FOOD AND DRUG REGULATION,1
002956,FOOD AND DRUG LAW,002957,DIETARY SUPPLEMENTS,0,2,002959=DIETARY SUPPLEMENTS REGULATION,1
002985,HEALTH LAW,002988,FOOD AND DRUG LAW,0,4,002997=FOOD AND DRUG REGULATION,1
002985,HEALTH LAW,003017,PUBLIC HEALTH LAW,0,2,003019=PUBLIC HEALTH REGULATION,1
002988,FOOD AND DRUG LAW,002989,FOOD SAFETY,0,3,002992=FOOD SAFETY REGULATION,1
003054,HEALTH LAW AND REGULATION,003062,HEALTH INFORMATION PRIVACY,0,3,003070=PATIENT PRIVACY AND HEALTH INFORMATION,1
003097,IMMIGRATION AND NATIONALITY,003182,NONIMMIGRANT VISAS,0,4,003179=NON-IMMIGRANT VISAS,1
003271,IMMIGRATION LAW,003289,ADMISSION AND INADMISSIBILITY,0,3,003272=ADMISSIBILITY AND INADMISSIBILITY,1
003379,INSURANCE REGULATION,003428,LICENSING OF INSURERS,0,3,003380=AUTHORIZATION AND LICENSING OF INSURERS;003414=INSURER ADMISSION AND LICENSING,2
003379,INSURANCE REGULATION,003433,POLICY FORMS AND TERMS,0,2,003402=INSURANCE POLICIES AND FORMS,1
003379,INSURANCE REGULATION,003397,INSURANCE FEDERALISM,0,5,003386=FEDERAL-STATE ALLOCATION OF REGULATORY AUTHORITY;003388=FEDERAL-STATE RELATIONS IN INSURANCE,2
003379,INSURANCE REGULATION,003418,INSURERS AND INSURANCE COMPANIES,0,3,003395=INSURANCE COMPANIES,1
003379,INSURANCE REGULATION,003394,GENERAL REGULATORY FRAMEWORK,5,0,003442=REGULATORY FRAMEWORK AND OVERSIGHT,1
003461,INTELLECTUAL PROPERTY,003465,PATENTS,0,16,003462=PATENT LAW,1
003465,PATENTS,003515,PROSECUTION AND APPLICATION PROCEDURE,0,7,003466=PATENT APPLICATIONS AND PROSECUTION;003472=PATENT PROSECUTION;003475=PATENT PROSECUTION AND APPLICATION PROCEDURE;003521=PROSECUTION AND APPLICATION PROCESS,4
003465,PATENTS,003523,PROSECUTION AND EXAMINATION,0,5,003480=PATENT PROSECUTION AND EXAMINATION,1
003465,PATENTS,003492,PATENTABILITY CONDITIONS,0,5,003503=PATENTABILITY REQUIREMENTS,1
003534,PATENT AND TRADEMARK OFFICE,003535,ESTABLISHMENT AND ORGANIZATION,0,2,003545=USPTO ESTABLISHMENT AND ORGANIZATION,1
003565,UNITED STATES PATENT AND TRADEMARK OFFICE,003566,ORGANIZATION AND GENERAL AUTHORITY,1,1,003567=ORGANIZATION AND GOVERNANCE,1
003592,INTELLECTUAL PROPERTY AND TECHNOLOGY REGULATION,003596,PATENTS,0,3,003593=PATENT LAW,1
003623,JUDICIAL REVIEW OF AGENCY ACTION,003646,SCOPE AND STANDARDS OF REVIEW,0,0,003640=SCOPE AND STANDARDS OF JUDICIAL REVIEW,1
003623,JUDICIAL REVIEW OF AGENCY ACTION,003690,STANDING TO SUE,0,3,003693=STANDING TO SUE AGENCIES;003696=STANDING TO SUE AGENCY,2
003646,SCOPE AND STANDARDS OF REVIEW,003654,REVIEW OF AGENCY DETERMINATIONS OF LAW,0,8,003663=REVIEW OF AGENCY LEGAL DETERMINATIONS,1
003647,DEFERENCE TO AGENCY INTERPRETATIONS,003650,CHEVRON DOCTRINE LIMITS,0,2,003648=CHEVRON DEFERENCE LIMITS,1
003717,CHILD LABOR REGULATION,003718,MINIMUM AGE REQUIREMENTS,0,2,003720=MINIMUM AGE RESTRICTIONS,1
003861,LOCAL GOVERNMENT AND MUNICIPAL CORPORATIONS,003862,FRANCHISES AND PUBLIC UTILITIES,0,2,003870=MUNICIPAL FRANCHISES AND PUBLIC UTILITIES,1
003861,LOCAL GOVERNMENT AND MUNICIPAL CORPORATIONS,003921,PUBLIC INFRASTRUCTURE AND PUBLIC WORKS,0,3,003892=MUNICIPAL PUBLIC WORKS AND INFRASTRUCTURE,1
004093,LOCAL GOVERNMENT AND MUNICIPAL REGULATION,004119,MUNICIPAL POLICE POWER,0,3,004116=MUNICIPAL ORDINANCES AND POLICE POWERS,1
004093,LOCAL GOVERNMENT AND MUNICIPAL REGULATION,004094,LICENSING AND PERMITS,0,2,004113=MUNICIPAL LICENSING AND PERMITS,1
004093,LOCAL GOVERNMENT AND MUNICIPAL REGULATION,004109,MUNICIPAL INFRASTRUCTURE AND PUBLIC WORKS,0,2,004104=MUNICIPAL INFRASTRUCTURE AND PUBLIC SERVICES;004107=MUNICIPAL INFRASTRUCTURE AND PUBLIC UTILITIES,2
004201,MUNICIPAL CORPORATIONS,004221,PUBLIC IMPROVEMENTS AND ASSESSMENTS,0,2,004224=PUBLIC IMPROVEMENTS AND SPECIAL ASSESSMENTS,1
004348,NATURAL RESOURCES AND ENVIRONMENTAL REGULATION,004514,WATER RIGHTS AND WATER RESOURCE MANAGEMENT,0,3,004510=WATER RIGHTS AND WATER MANAGEMENT,1
004367,WATER LAW AND RIGHTS,004416,WATER APPROPRIATION AND DISTRIBUTION,0,5,004421=WATER APPROPRIATION AND DISTRIBUTION SYSTEMS,1
004367,WATER LAW AND RIGHTS,004408,STATE-SPECIFIC WATER RIGHTS AND APPROPRIATION DOCTRINES,1,1,004409=STATE-SPECIFIC WATER RIGHTS DOCTRINES,1
004467,WATER RIGHTS AND ALLOCATION,004468,ADMINISTRATION AND ENFORCEMENT,0,2,004470=ADMINISTRATIVE OVERSIGHT AND ENFORCEMENT,1
004526,ADMINISTRATIVE APPEALS AND REVIEW,004527,APPEALS FROM FIELD OFFICER ACTIONS,2,0,004528=APPEALS FROM FIELD OFFICER DECISIONS,1
004533,FEDERAL RECLAMATION LAW,004535,AMENDMENTS TO THE NATIONAL RECLAMATION ACT,2,0,004534=AMENDATORY ACTS TO THE NATIONAL RECLAMATION ACT,1
004602,OSHA ENFORCEMENT,004605,CITATION CHALLENGES,0,3,004603=CHALLENGING CITATIONS,1
004628,OSHA STANDARD-SETTING,004632,SUBSTANCE-SPECIFIC HEALTH STANDARDS,0,2,004629=REGULATION OF SPECIFIC TOXIC SUBSTANCES,1
004754,PUBLIC EMPLOYMENT AND CIVIL SERVICE,004759,COMPENSATION AND BENEFITS,0,4,"004762=COMPENSATION, SALARY, AND BENEFITS",1
004855,PUBLIC PROCUREMENT AND CONTRACTING,004899,SCOPE AND APPLICABILITY OF PROCUREMENT REGIMES,0,4,004903=SCOPE AND APPLICABILITY OF PUBLIC CONTRACTING REGIME;004906=SCOPE AND COVERAGE OF PROCUREMENT REGIMES,2
004855,PUBLIC PROCUREMENT AND CONTRACTING,004861,CONTRACT TYPES AND CLASSIFICATION,0,4,004856=CONTRACT CLASSIFICATION,1
